"DISTRICT","D20191216","D20191217","D20191218","D20191219","D20191220","D20191221","D20191222","D20191223","D20191224","D20191225"
"Srikakulam",30.38,30.62,30.19,29.98,30.62,31.13,29.84,29.36,29.92,30.56
"Vizianagaram",30.9,31,30.87,30.7,31.15,31.94,29.47,29.29,29.71,30.4
"Visakhapatnam",28.65,28.93,28.59,28.41,28.67,29.17,28.01,27.58,28,28.9
"East Godavari",31.1,31.03,30.96,30.83,30.93,31.25,29.77,29.68,29.61,30.4
"West Godavari",32.84,32.5,32.29,32.24,32.08,32.35,30.37,30.53,30.33,31.19
"Krishna",32.82,32.44,31.9,32.12,32.06,32.07,30.55,30.53,30.52,31.45
"Guntur",32.54,32.33,31.81,32.08,32.37,32.09,30.48,30.43,30.57,31.78
"Prakasam",29.63,30.24,30.03,30.47,31.04,30.77,29.17,29.12,29.2,30.54
"Kurnool",31.03,32.07,31.67,32.3,32.17,32.56,29.93,30.33,30.86,31.46
"Anantapur",29.22,30.53,30.49,30.83,30.87,31.4,29.22,29.15,29.83,30.99
"Kadapa",28.79,29.97,29.92,30.78,31.31,31.45,29.13,28.82,29.32,31.18
"Chittoor",27.15,28.09,28.3,28.71,28.89,28.94,27.38,27.08,27.73,28.45
"Nellore",28.98,30.02,30.13,30.4,30.37,30.69,29.58,29.22,29.41,29.96
